gene	gene_symbol	cancer_relevance	rank_sum	average_rank	rank_std	method_ranks	appears_in_methods	n_methods	avg_composite_score	avg_feature_importance	delta_connectivity	median_composite_score	median_feature_importance	cluster_based_composite_score	cluster_based_feature_importance	consensus_rank
ENSG00000114948.13|ADAM23	ADAM23	cancer	144	72.000000	8.000000	{'median': 64, 'cluster_based': 80}	['median', 'cluster_based']	2	713.161657	0.000282	712.879349	713.291676	0.000412	713.031638	0.000152	79
ENSG00000012660.14|ELOVL5	ELOVL5	non_cancer	169	84.500000	12.500000	{'median': 97, 'cluster_based': 72}	['median', 'cluster_based']	2	1392.732871	0.000263	1392.601217	1392.601217	0.000000	1392.864525	0.000263	80
ENSG00000099968.18|BCL2L13	BCL2L13	cancer	167	83.500000	10.500000	{'median': 94, 'cluster_based': 73}	['median', 'cluster_based']	2	756.847808	0.000263	756.716472	756.716472	0.000000	756.979144	0.000263	81
ENSG00000166340.17|TPP1	TPP1	non_cancer	155	77.500000	17.500000	{'median': 60, 'cluster_based': 95}	['median', 'cluster_based']	2	751.287693	0.000235	751.053164	751.506911	0.000454	751.068476	0.000015	82
ENSG00000143149.12|ALDH9A1	ALDH9A1	non_cancer	159	79.500000	12.500000	{'median': 92, 'cluster_based': 67}	['median', 'cluster_based']	2	1006.473490	0.000233	1006.240803	1006.252932	0.000012	1006.694049	0.000453	83
ENSG00000100439.10|ABHD4	ABHD4	non_cancer	175	87.500000	8.500000	{'median': 96, 'cluster_based': 79}	['median', 'cluster_based']	2	797.440822	0.000202	797.339751	797.339751	0.000000	797.541892	0.000202	84
ENSG00000064309.14|CDON	CDON	cancer	154	77.000000	1.000000	{'median': 76, 'cluster_based': 78}	['median', 'cluster_based']	2	735.718390	0.000181	735.537108	735.680741	0.000144	735.756039	0.000219	85
ENSG00000165678.21|GHITM	GHITM	non_cancer	154	77.000000	1.000000	{'median': 78, 'cluster_based': 76}	['median', 'cluster_based']	2	877.181813	0.000176	877.006237	877.115034	0.000109	877.248591	0.000242	86
ENSG00000137274.13|BPHL	BPHL	non_cancer	156	78.000000	8.000000	{'median': 86, 'cluster_based': 70}	['median', 'cluster_based']	2	928.061402	0.000160	927.900909	927.921978	0.000021	928.200826	0.000300	87
ENSG00000159307.19|SCUBE1	SCUBE1	non_cancer	161	80.500000	3.500000	{'median': 77, 'cluster_based': 84}	['median', 'cluster_based']	2	736.707195	0.000131	736.575931	736.718195	0.000142	736.696195	0.000120	88
ENSG00000143878.10|RHOB	RHOB	breast_cancer	162	81.000000	4.000000	{'median': 85, 'cluster_based': 77}	['median', 'cluster_based']	2	1196.034238	0.000121	1195.913338	1195.935361	0.000022	1196.133115	0.000220	89
ENSG00000239998.6|LILRA2	LILRA2	non_cancer	172	86.000000	5.000000	{'median': 91, 'cluster_based': 81}	['median', 'cluster_based']	2	730.271084	0.000082	730.188953	730.204614	0.000016	730.337554	0.000149	90
ENSG00000253159.3|PCDHGA12	PCDHGA12	non_cancer	167	83.500000	0.500000	{'median': 84, 'cluster_based': 83}	['median', 'cluster_based']	2	709.355033	0.000075	709.280300	709.302659	0.000022	709.407406	0.000127	91
ENSG00000177076.6|ACER2	ACER2	non_cancer	174	87.000000	2.000000	{'median': 89, 'cluster_based': 85}	['median', 'cluster_based']	2	715.848734	0.000061	715.787699	715.804074	0.000016	715.893394	0.000106	92
ENSG00000198752.11|CDC42BPB	CDC42BPB	non_cancer	171	85.500000	4.500000	{'median': 81, 'cluster_based': 90}	['median', 'cluster_based']	2	962.980261	0.000046	962.934424	962.983543	0.000049	962.976980	0.000043	93
ENSG00000109787.13|KLF3	KLF3	non_cancer	179	89.500000	7.500000	{'median': 82, 'cluster_based': 97}	['median', 'cluster_based']	2	711.701059	0.000036	711.682992	711.719126	0.000036	711.682992	0.000000	94
ENSG00000205795.4|CYS1	CYS1	non_cancer	179	89.500000	0.500000	{'median': 90, 'cluster_based': 89}	['median', 'cluster_based']	2	759.979270	0.000035	759.943828	759.960138	0.000016	759.998403	0.000055	95
ENSG00000187678.10|SPRY4	SPRY4	cancer	191	95.500000	3.500000	{'median': 99, 'cluster_based': 92}	['median', 'cluster_based']	2	737.048710	0.000034	737.031875	737.031875	0.000000	737.065546	0.000034	96
ENSG00000181852.18|RNF41	RNF41	non_cancer	174	87.000000	4.000000	{'median': 83, 'cluster_based': 91}	['median', 'cluster_based']	2	1170.347877	0.000033	1170.315028	1170.346879	0.000032	1170.348874	0.000034	97
ENSG00000162520.15|SYNC	SYNC	non_cancer	186	93.000000	0.000000	{'median': 93, 'cluster_based': 93}	['median', 'cluster_based']	2	1073.221437	0.000020	1073.211549	1073.211549	0.000000	1073.231326	0.000020	98
ENSG00000168385.18|SEPTIN2	SEPTIN2	non_cancer	182	91.000000	3.000000	{'median': 88, 'cluster_based': 94}	['median', 'cluster_based']	2	992.344132	0.000017	992.326801	992.343351	0.000017	992.344912	0.000018	99
ENSG00000170522.10|ELOVL6	ELOVL6	non_cancer	197	98.500000	0.500000	{'median': 98, 'cluster_based': 99}	['median', 'cluster_based']	2	761.546780	0.000000	761.546780	761.546780	0.000000	761.546780	0.000000	100
